,tempe_D,,,front,,,tempe_G,,,occiput,,,epaule_D,,,dos,,,coude_D,,,poignet_int_D,,,poignet_ext_D,,,epaule_G,,,coude_G,,,poignet_int_G,,,poignet_ext_G,,,sternum,,,hanche_D,,,hanche_G,,,femur_D,,,femur_G,,,genoux_ext_D,,,genoux_ext_G,,,genoux_int_G,,,genoux_int_D,,,tibias_D,,,tibias_G,,,cheville_ext_G,,,cheville_ext_D,,,cheville_int_D,,,cheville_int_G,,,orteil_G,,,talon_G,,,orteil_D,,,talon_D,,
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
13,488.946655,298.346283,1723.730957,405.145996,431.620209,1740.681519,316.337158,355.811737,1716.838623,374.498596,220.343079,1712.710083,607.172607,228.716705,1463.724121,402.047333,142.973785,1426.588257,666.743347,238.328003,1124.576416,721.795776,288.878876,865.81604,631.910889,413.733215,903.751526,207.492035,199.63765,1476.982666,136.708954,246.890854,1130.064087,74.946053,303.325439,875.189026,113.072144,448.680176,931.207153,390.830505,367.926819,1356.000854,536.27301,311.40387,1088.956421,250.695114,323.325378,1069.697021,598.530884,301.76355,793.720581,190.490463,296.573578,721.281799,574.232483,282.969696,539.66803,212.32782,273.029755,548.646851,311.191132,299.917694,521.295959,474.955414,291.384735,522.948853,605.949341,245.765701,448.528656,162.778397,230.867294,353.873871,157.02742,214.604156,100.944122,616.335754,205.325439,122.222191,555.442078,216.977509,108.752899,240.930069,240.177109,104.511543,166.917404,425.838013,49.370495,201.657333,148.85112,38.578869,622.87323,433.039734,51.105728,581.949524,159.246185,47.393696
14,488.930939,298.033356,1723.805176,405.250671,431.450317,1740.810303,316.37619,355.677002,1716.929077,374.365936,220.205399,1712.558472,607.083069,228.76239,1463.745728,401.935089,142.99173,1426.605469,666.500305,238.415253,1124.488281,721.676453,288.809937,865.791992,631.814453,413.63739,903.785339,207.407028,199.656021,1476.906128,136.787918,246.86763,1129.981567,75.082329,303.247589,875.00238,113.182739,448.642242,931.156799,390.805878,367.866669,1356.005737,536.315796,311.714966,1089.285156,250.695129,323.332458,1069.710938,598.470459,301.762421,793.621338,190.503708,296.505981,721.291504,574.243042,282.971832,539.643372,212.315994,273.005676,548.710205,311.185486,299.888092,521.255737,474.993561,291.333191,522.927307,606.041016,246.046143,448.525238,162.798874,230.867691,353.863892,156.994614,214.689499,101.068558,616.250671,205.111359,122.274559,555.486694,216.999023,108.754082,240.94371,240.168335,104.51741,166.947067,425.798615,49.288555,201.654709,148.825272,38.629368,622.881958,433.018494,51.128094,581.947815,159.248672,47.392925
15,488.87796,297.699463,1723.872559,405.360046,431.204681,1740.976929,316.425201,355.628387,1716.997437,374.275299,219.98204,1712.430786,606.986145,228.72467,1463.807373,401.875549,142.972794,1426.616943,666.384094,238.337128,1124.460815,721.608032,288.615662,865.901184,631.622437,413.585266,903.647888,207.314499,199.701614,1476.872437,136.804886,246.877487,1129.878662,75.213326,303.131317,874.902466,113.305969,448.674408,931.09845,390.675934,367.760681,1355.966187,536.123413,312.246216,1089.58313,250.677353,323.243652,1069.713623,598.53186,301.754364,793.718689,190.556366,296.460907,721.320007,574.24762,282.976288,539.673584,212.361481,272.946228,548.681519,311.453033,300.779327,521.325928,475.039368,291.254883,522.925964,606.064026,245.791275,448.588989,162.806442,230.862885,353.879791,157.022858,214.597885,100.888718,616.233521,205.104507,122.280525,555.483887,217.004791,108.760002,240.981827,240.189117,104.478287,166.950867,425.791626,49.334713,201.659973,148.822617,38.576874,622.885254,433.056488,51.105728,581.94989,159.283005,47.410973
16,488.830566,297.35199,1723.945801,405.471436,430.928284,1741.202271,316.438293,355.538788,1717.109375,374.158722,219.849213,1712.37085,606.887329,228.703354,1463.863647,401.755066,142.919006,1426.663574,666.236816,238.32962,1124.486084,721.507141,288.486115,865.90863,631.547241,413.409454,903.745728,207.223587,199.801025,1476.799438,136.78804,246.832962,1129.838867,75.333138,303.038269,874.810852,113.419273,448.604706,931.03479,390.689514,367.67038,1355.900757,536.077637,312.630829,1089.818848,250.725754,323.13443,1069.717285,598.547913,301.729828,793.749939,190.55867,296.381409,721.310242,574.292053,282.972778,539.682068,212.379929,272.911011,548.702942,311.216522,300.037323,521.133179,475.021057,291.229614,522.958435,606.108765,245.686493,448.569244,162.798965,230.856216,353.85202,156.997833,214.583679,100.938858,616.235046,205.110901,122.276573,555.479248,217.002365,108.760681,240.946106,240.169479,104.511436,166.928101,425.831268,49.362324,201.674255,148.815948,38.598442,622.893799,433.037781,51.126511,581.970459,159.213898,47.400784
17,488.773895,297.001312,1723.982666,405.627441,430.715515,1741.503052,316.490051,355.483154,1717.152466,374.049011,219.671127,1712.262207,606.818604,228.619675,1463.909302,401.668091,142.90126,1426.682983,666.168091,238.180084,1124.465698,721.411804,288.38562,865.935669,631.346924,413.348511,903.631531,207.149551,199.760925,1476.726685,136.830261,246.821442,1129.766357,75.482307,302.955963,874.684021,113.580986,448.538788,930.905212,390.612732,367.635223,1355.935913,535.979858,312.821777,1089.92041,250.737732,323.053192,1069.678833,598.623108,301.636993,793.702087,190.580399,296.291656,721.3349,574.282532,282.958984,539.689331,212.372177,272.903076,548.731873,311.504974,300.564911,521.514038,475.01889,291.23349,522.952209,606.10376,245.978561,448.565063,162.795517,230.841095,353.885468,156.966034,214.587234,101.016167,616.229492,205.120544,122.265976,555.431519,216.976593,108.779861,240.961319,240.124466,104.455612,166.947556,425.794617,49.340706,201.642914,148.798859,38.590439,622.882324,433.018555,51.12838,581.946777,159.220169,47.435379
18,488.788422,296.6008,1724.039429,405.805573,430.485931,1741.767456,316.492859,355.473236,1717.245239,373.89563,219.525742,1712.1521,606.716553,228.572952,1463.938965,401.563293,142.844299,1426.743286,666.087341,238.023453,1124.480103,721.196716,288.430511,865.767578,631.20105,413.255005,903.609497,207.071991,199.796326,1476.702271,136.863495,246.766724,1129.650635,75.664032,302.901123,874.534729,113.744453,448.420227,930.801819,390.605743,367.543579,1355.830811,536.060425,312.728912,1089.932617,250.737244,322.899902,1069.667114,598.620361,301.552094,793.793701,190.602524,296.25296,721.331055,574.277954,282.954834,539.687988,212.389709,272.841125,548.701172,311.50946,300.842133,521.362793,475.081268,291.245178,522.931519,606.112183,246.032837,448.537262,162.801132,230.794647,353.880981,157.030746,214.546677,100.895248,616.229187,205.121109,122.265228,555.476379,217.002411,108.736847,240.983734,240.176956,104.420258,166.987595,425.808502,49.298077,201.704224,148.817337,38.585026,622.87323,433.038422,51.106518,581.93811,159.250427,47.408669
19,488.646149,296.389801,1724.024292,405.981628,430.218536,1741.981445,316.508759,355.344238,1717.329834,373.69397,219.344223,1712.037598,606.645874,228.53688,1463.953857,401.394989,142.822845,1426.7229,666.013977,237.972641,1124.500854,721.099487,288.267883,865.779724,631.12085,412.978882,903.66626,206.905167,199.793915,1476.717896,136.890564,246.769241,1129.5979,75.78595,302.71936,874.4328,113.899887,448.347107,930.709717,390.566071,367.48056,1355.810669,536.059326,312.536774,1089.857422,250.709839,322.820282,1069.664185,598.635864,301.510315,793.780701,190.621811,296.203369,721.345642,574.292419,282.9758,539.685974,212.401459,272.850891,548.700623,311.564636,300.634277,521.555969,475.06311,291.194916,522.891357,606.147827,246.013138,448.593048,162.834747,230.774323,353.813171,157.017975,214.584427,100.930992,616.358093,205.336807,122.239777,555.442505,216.97998,108.77021,240.897263,240.184036,104.485313,166.960892,425.799683,49.299633,201.692307,148.834167,38.552109,622.911438,433.040344,51.103592,581.954041,159.185425,47.413364
20,488.558411,296.263641,1723.983276,406.150116,429.831268,1742.13855,316.550812,355.283234,1717.406616,373.531799,219.173019,1711.955933,606.611084,228.487442,1464.003906,401.315125,142.802612,1426.776611,665.84613,237.804703,1124.507935,721.010376,288.113281,865.802429,630.937256,412.905151,903.708435,206.836929,199.842346,1476.65271,136.957474,246.720612,1129.519409,75.975235,302.653412,874.317078,114.06324,448.24234,930.550049,390.521393,367.425903,1355.772583,536.120972,312.311066,1089.805786,250.725723,322.751221,1069.671509,598.554749,301.688965,793.670227,190.626556,296.136292,721.34845,574.256897,282.988983,539.67981,212.348541,272.78363,548.700378,311.335815,299.66629,521.297241,475.108521,291.199005,522.863342,606.083374,245.756714,448.507599,162.822983,230.747192,353.818726,157.005798,214.568558,100.938408,616.266296,205.134933,122.25486,555.450317,217.022461,108.756348,240.898163,240.208466,104.495255,166.959869,425.813385,49.375271,201.713928,148.823288,38.597298,622.885803,433.056946,51.10503,581.97113,159.209366,47.40147
21,488.477203,295.940613,1723.969116,406.230652,429.570465,1742.25061,316.566833,355.178192,1717.506104,373.356659,218.998032,1711.88916,606.555664,228.489197,1464.01355,401.257385,142.75209,1426.779297,665.772766,237.659958,1124.536499,720.917969,287.877899,865.811035,630.777588,412.694763,903.676514,206.738449,199.851959,1476.579224,136.987534,246.647537,1129.409668,76.102882,302.554993,874.219788,114.178848,448.204468,930.45929,390.46933,367.366913,1355.761108,536.164063,312.161926,1089.735474,250.724243,322.682068,1069.654785,598.513306,301.648132,793.624817,190.608612,296.036713,721.360229,574.286011,282.976868,539.684448,212.386734,272.748505,548.686646,311.319092,299.556549,521.268433,475.056671,291.169403,522.909058,606.133362,245.974442,448.576324,162.813889,230.739212,353.875153,156.966797,214.587692,101.00325,616.363525,205.3237,122.249901,555.492188,216.997635,108.751862,240.941132,240.172668,104.515152,166.917068,425.838104,49.37101,201.659332,148.830582,38.570744,622.888062,433.046844,51.107433,581.949524,159.247559,47.392868
22,488.335144,295.632874,1723.966187,406.333771,429.309631,1742.303101,316.63974,355.115082,1717.581055,373.250092,218.812057,1711.804565,606.518188,228.413574,1464.049683,401.15448,142.70015,1426.779785,665.692139,237.602341,1124.506226,720.82605,287.69809,865.802124,630.736206,412.498322,903.616089,206.630844,199.869293,1476.572021,136.996796,246.583267,1129.362427,76.262688,302.448212,874.122681,114.295898,448.145935,930.314087,390.385712,367.247986,1355.750977,536.201965,312.04184,1089.747437,250.726898,322.595184,1069.684326,598.589722,301.53186,793.634827,190.656525,296.000427,721.341064,574.141113,283.226715,539.907715,212.389862,272.727692,548.683044,311.281281,299.589752,521.305054,475.08139,291.107025,522.912476,606.066956,245.695358,448.48053,162.822525,230.673065,353.871552,157.052261,214.606171,100.918961,616.244141,205.0867,122.286789,555.454224,216.988815,108.770782,240.945465,240.165375,104.516273,166.956894,425.801239,49.304199,201.688721,148.834396,38.552212,622.910583,433.002502,51.144646,581.947815,159.248825,47.392765
