,tempe_D,,,front,,,tempe_G,,,occiput,,,epaule_D,,,dos,,,coude_D,,,poignet_int_D,,,poignet_ext_D,,,epaule_G,,,coude_G,,,poignet_int_G,,,poignet_ext_G,,,sternum,,,hanche_D,,,hanche_G,,,femur_D,,,femur_G,,,genoux_ext_D,,,genoux_ext_G,,,genoux_int_G,,,genoux_int_D,,,tibias_D,,,tibias_G,,,cheville_ext_G,,,cheville_ext_D,,,cheville_int_D,,,cheville_int_G,,,orteil_G,,,talon_G,,,orteil_D,,,talon_D,,
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
239,100.554886,-168.085556,1702.563965,31.768824,-71.033569,1707.974487,-79.948341,-163.822861,1701.545166,-10.74662,-285.183136,1713.271484,184.947311,-340.177399,1464.326538,-25.412783,-405.061035,1444.143066,264.797272,-360.417175,1141.102173,316.06424,-330.178314,874.372437,252.77684,-184.570343,897.626343,-232.659363,-323.656342,1476.913086,-324.559998,-249.626999,1170.468994,-386.200623,-92.667931,936.409546,-325.343262,9.8842,1043.609253,-20.942291,-188.764771,1373.929321,131.303207,-258.996613,1090.281982,-157.093384,-233.766525,1095.938965,179.615784,-191.028885,816.42627,-183.104675,-307.347443,697.255127,147.304138,-84.980339,579.604736,-135.28627,-341.718109,547.079102,-19.301809,-370.023041,546.409058,41.854565,-61.370052,560.020752,168.676819,-63.981533,469.259094,-155.359207,-418.700714,337.604248,-111.636917,-467.66925,110.68898,149.116028,-14.680455,135.34021,79.010292,35.857052,161.29248,-30.83287,-447.49707,134.034622,-59.932491,-265.332825,50.938343,-68.339272,-541.749634,74.452003,163.717728,215.41394,150.588837,98.283646,-39.231972,61.373531
240,101.544487,-157.075348,1700.581299,32.529243,-60.21209,1706.578125,-79.104866,-152.924225,1699.600342,-9.679333,-274.248932,1710.944092,185.687561,-328.323242,1461.609985,-24.324131,-393.674713,1441.57373,265.512451,-349.344971,1138.51355,316.958832,-318.470367,871.681641,253.34848,-173.92392,894.825256,-231.623672,-312.091187,1474.408447,-324.353729,-236.404907,1168.574829,-385.778839,-76.698517,936.315613,-324.656586,24.236101,1044.710938,-19.856543,-176.818069,1371.823242,132.049408,-245.526596,1087.070923,-155.967087,-221.468964,1093.883301,180.185562,-180.492981,810.976807,-182.383743,-299.170868,695.815735,145.65239,-76.157013,574.654053,-135.078415,-335.60379,546.285706,-18.806868,-364.142792,546.015808,39.614948,-53.952206,554.549744,167.787552,-51.846523,466.347137,-154.987915,-415.443451,337.938507,-111.347908,-466.903839,111.484207,153.716705,12.802674,134.96492,81.87677,60.920235,162.095703,-30.469734,-447.077362,134.320587,-59.920902,-265.316864,50.910599,-68.359367,-541.962708,75.378235,164.100143,242.05719,161.846527,104.207085,-8.981751,58.714809
241,102.410271,-146.085663,1698.719116,33.581249,-49.470493,1705.172974,-78.08403,-141.919662,1697.733887,-8.609691,-263.461914,1708.482788,186.971359,-316.446564,1458.758667,-23.289623,-381.653259,1438.735229,266.519531,-337.982635,1135.785034,317.623383,-306.633148,868.694458,253.891785,-162.655548,891.899475,-230.531937,-300.432343,1471.76062,-324.054443,-223.532776,1166.422852,-385.256592,-61.142914,936.19812,-323.724884,38.515827,1045.329712,-18.891798,-164.80513,1369.51123,133.412933,-232.686081,1084.301147,-155.137589,-209.367783,1091.299927,181.73114,-169.45491,806.045898,-181.999084,-290.830109,694.932068,144.028091,-66.916725,569.743103,-134.49118,-328.59259,545.260254,-17.954601,-357.460327,545.533203,37.493725,-46.460224,549.883911,166.936157,-39.634617,464.478485,-154.00441,-410.693573,337.634064,-111.13192,-466.386658,112.35025,157.358383,38.342377,135.00766,84.38356,83.770363,162.806183,-30.000942,-446.164001,134.865173,-59.876274,-265.36087,50.791882,-67.917641,-541.396423,76.176323,163.201065,266.335236,171.811859,110.226913,18.627371,57.08815
242,103.50016,-134.917267,1696.874756,34.453789,-38.035995,1703.648804,-76.927383,-130.971466,1695.682007,-7.426908,-252.476318,1705.956909,188.065231,-304.484375,1455.927124,-22.075272,-369.922211,1436.037231,267.568237,-326.694,1132.993164,318.283325,-294.896118,865.780029,254.947266,-151.504089,889.066406,-229.464249,-288.630188,1469.055176,-323.415771,-210.838043,1164.361816,-384.610291,-46.103008,935.315857,-322.733765,52.32336,1045.447876,-17.877436,-152.903809,1367.206665,134.467163,-219.500702,1081.957275,-154.183777,-196.868454,1088.960205,183.147964,-158.442062,800.841125,-181.260956,-281.765839,693.619202,142.766342,-57.155857,565.876648,-133.795456,-320.749115,543.898682,-17.284058,-350.137604,544.821472,35.320679,-38.822506,545.192139,166.114182,-27.004805,462.535736,-153.539963,-405.945099,338.016571,-110.847595,-465.854431,113.296478,160.48999,61.544971,135.463242,86.004608,104.616585,163.218384,-29.607767,-445.232727,135.477234,-59.652813,-265.457489,50.575089,-67.503349,-540.69574,77.132355,161.235718,288.05304,179.542023,115.730186,43.479187,55.864521
243,104.762222,-123.74131,1694.97583,35.263409,-26.648539,1702.304077,-75.984505,-120.227531,1693.91626,-6.119203,-241.603363,1703.62854,189.370712,-292.415039,1453.115967,-21.031393,-357.414795,1433.20752,268.763214,-314.857208,1130.064453,319.25174,-283.442261,862.969849,256.07431,-139.901474,886.184143,-228.034729,-276.918854,1466.377808,-322.871674,-198.302139,1162.00354,-383.827148,-31.600121,934.179382,-321.5849,65.88961,1045.276123,-16.940193,-140.537933,1364.87915,135.404602,-205.966293,1079.27478,-153.181931,-184.376663,1086.515503,184.858643,-146.481995,795.90332,-179.99707,-272.038727,692.020508,141.568985,-46.649338,562.452271,-133.071823,-312.107605,542.216064,-16.474155,-341.641846,544.009827,33.80225,-31.080784,541.045776,165.861603,-14.411445,460.955444,-152.845856,-400.337952,337.790527,-110.38205,-464.749603,114.655907,162.806,82.349609,135.698471,86.730179,123.068573,163.267517,-29.166553,-444.593201,136.11174,-59.783001,-265.611694,50.300282,-68.070374,-540.514648,78.69278,158.387009,307.618195,185.722809,120.124054,65.335419,54.851322
244,105.863968,-112.448433,1693.240479,36.266994,-15.802611,1701.116455,-74.735291,-109.293419,1692.016724,-4.662687,-230.538361,1701.236816,190.806778,-280.21521,1450.29126,-19.435133,-345.873627,1430.623047,269.894196,-302.96048,1127.191406,320.354889,-271.65683,859.978394,257.052277,-128.15686,883.267883,-226.635773,-265.076263,1463.637939,-321.919037,-185.741394,1159.604004,-383.011963,-17.520206,933.047791,-320.505707,78.985367,1044.536011,-15.778756,-128.384827,1362.497681,136.286636,-192.142426,1076.627686,-152.322296,-171.541504,1084.473145,186.297012,-133.844513,791.350403,-178.697418,-261.852264,690.530945,141.130203,-35.939667,559.518066,-132.243134,-302.471893,540.523438,-15.738668,-332.319702,542.707092,33.10424,-22.620735,537.859863,165.592773,-2.14618,458.731964,-151.823563,-394.274872,337.320923,-110.150009,-463.616699,115.76133,163.618546,100.257492,135.248993,86.913269,139.49498,162.501663,-28.52129,-443.211151,136.9888,-59.792694,-265.510803,50.22607,-67.492867,-539.665039,80.673309,155.463913,324.940796,188.566147,122.080994,84.188782,53.416191
245,106.903679,-100.911118,1691.5802,37.168785,-4.828349,1699.937744,-73.485474,-98.185364,1690.317993,-3.12983,-219.271255,1699.032959,192.22995,-268.00528,1447.607788,-17.862146,-333.838379,1428.253052,271.194946,-290.8255,1124.640625,321.448639,-259.889832,857.321411,258.241516,-116.123093,880.492188,-225.228409,-253.136444,1461.164673,-320.612793,-173.297791,1157.201904,-381.800812,-4.069112,931.401917,-319.434723,91.763657,1043.445801,-14.196393,-116.198509,1360.204102,137.284103,-178.65683,1074.497559,-151.166061,-159.122559,1082.081177,186.904526,-120.412643,788.177185,-176.983536,-251.016983,688.563354,141.084641,-24.381891,557.367249,-131.515076,-292.309235,538.807373,-14.96072,-321.782013,541.475586,33.624901,-13.192742,534.854919,165.981384,10.425714,456.608612,-151.594147,-387.366577,337.851196,-109.980011,-462.463562,117.350204,163.755432,115.542564,133.750763,86.606201,153.220383,161.058655,-28.081844,-441.811462,138.172302,-59.805893,-265.331512,50.334869,-67.165504,-538.909546,82.748024,152.660995,339.423889,188.917023,122.166931,99.378197,51.913116
246,108.287903,-89.269638,1690.177368,38.168964,7.028479,1698.812988,-72.395958,-87.092934,1688.680664,-1.787101,-208.056641,1696.972778,193.805695,-255.765732,1445.153931,-16.369356,-321.443909,1426.015015,272.342438,-278.448517,1122.026733,322.390167,-247.765579,854.767822,259.534241,-103.95163,877.652954,-223.741135,-241.276489,1458.744751,-319.306427,-161.277405,1155.017822,-380.280731,8.647788,929.527649,-318.180389,104.263878,1042.082764,-12.94612,-104.044533,1358.191528,138.338837,-165.028931,1072.473511,-150.106705,-147.194122,1079.61731,187.222702,-106.404823,786.054321,-175.264297,-239.32692,686.881836,141.541962,-11.807411,555.946167,-130.720108,-281.04895,537.25592,-14.12494,-310.268616,540.211548,34.705772,-2.169728,532.659729,166.960785,22.982939,454.409027,-150.441833,-380.702118,337.178497,-109.740204,-460.6521,119.290154,163.574493,127.888229,130.888092,85.815796,164.773804,159.306946,-27.581688,-439.58493,139.783264,-59.753441,-265.047485,50.363651,-67.060501,-537.974548,85.502716,150.087402,351.600098,186.293671,121.187935,111.264496,49.190697
247,109.709084,-77.584366,1688.827271,39.307549,18.632496,1698.029785,-70.966293,-75.697235,1687.234741,-0.235498,-196.675552,1695.077515,195.424606,-243.429947,1442.922974,-14.657914,-309.33316,1423.862427,273.668213,-265.798309,1119.438477,323.57843,-235.545303,852.201172,260.720123,-91.611671,874.984436,-222.201233,-229.22612,1456.643921,-317.565765,-149.262085,1152.843994,-378.821472,20.73506,927.727234,-316.883209,116.100647,1040.225708,-11.383348,-91.439682,1356.422607,139.397675,-151.43988,1070.966431,-149.064026,-134.652618,1078.036377,187.747803,-92.077484,784.712769,-173.407959,-227.017487,684.729736,142.253525,1.900989,554.904175,-129.734558,-269.4617,534.854126,-13.439034,-298.266632,538.418274,36.611687,10.67747,531.320313,167.430923,35.590378,451.718964,-150.104141,-372.891907,337.488708,-109.731018,-458.719849,121.315163,163.064804,137.541779,127.616455,85.108505,173.866638,155.972214,-27.575224,-437.6008,141.608902,-59.604462,-265.046844,50.131294,-67.26162,-536.578186,88.865021,147.125458,361.749329,180.938461,120.526871,120.061958,45.737144
248,110.96254,-65.694305,1687.631226,40.476299,30.331175,1697.213257,-69.617485,-64.433685,1685.870117,1.339124,-185.094299,1693.442261,197.157043,-231.028961,1440.837524,-12.904222,-296.718842,1422.053711,274.855072,-252.722244,1117.210449,324.450989,-222.961075,850.05481,261.737152,-79.099739,872.431213,-220.406189,-217.179337,1454.813232,-315.626892,-137.486343,1150.949097,-377.297089,32.184189,925.460327,-315.451569,127.787491,1038.189941,-9.799313,-79.141365,1354.926514,140.58638,-137.506042,1069.898682,-147.912857,-122.67083,1076.312988,189.288834,-77.007263,784.981079,-171.136398,-214.013443,682.640137,143.147629,15.962289,553.541016,-128.944931,-256.811035,533.040405,-12.714808,-285.407257,536.610107,38.075554,25.011032,530.956665,167.848312,48.616825,449.308594,-149.508835,-364.300873,337.731842,-109.882462,-456.653442,123.905495,162.764175,144.915146,123.820908,84.358047,180.889526,151.207886,-27.744881,-434.884552,143.859024,-59.756142,-265.024841,49.982307,-67.627045,-535.264099,93.077652,142.634796,369.737396,172.784042,119.889519,125.302269,42.363312
